,Time (ms),Voltage (mV),Voltage (mA),Force (Grams)
0,365,0,1,0
1,562,0,1,0
2,738,0,1,0
3,907,0,1,0
4,1104,0,1,0
5,1292,0,1,0
6,1470,0,1,0
7,1715,0,1,0
8,1997,0,1,0
9,2267,0,1,0
10,2478,0,1,0
11,2647,0,1,0
12,2854,0,1,0
13,3034,0,1,0
14,3204,0,1,0
15,3423,0,1,0
16,3623,0,1,0
17,3795,0,1,0
18,4024,0,1,0
19,4258,0,1,0
20,4549,0,1,0
21,4767,0,1,0
22,4936,0,1,0
23,5121,0,1,0
24,5318,0,1,0
25,5485,0,1,0
26,5653,0,1,0
27,5818,0,1,0
28,6034,0,1,0
29,6272,0,1,0
30,6449,0,1,0
31,6624,0,1,0
32,6794,0,1,0
33,6968,0,1,0
34,7144,0,1,0
35,7318,0,1,0
36,7485,0,1,0
37,7653,0,1,0
38,7827,0,1,-1
39,8016,0,1,-2
40,8202,0,1,-2
41,8384,0,1,-3
42,8598,0,1,-2
43,8793,0,1,-1
44,8973,0,1,-1
45,9171,0,1,0
46,9360,0,1,0
47,9542,0,1,0
48,9770,0,1,0
49,10006,0,1,0
50,10221,0,1,0
51,10433,0,1,0
